                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.45,                 2.9079,                 1.1636,                0.90204,                0.90982,                0.96585,                0.63558,                 1.2591,                 0.7947,                0.99264,             5.9622e-05,             5.9622e-05,             5.9622e-05
                      2,                 1.2354,                0.86293,                 1.0622,                0.98428,                0.98796,                0.99415,                0.71593,                 1.0649,                0.53955,                0.95421,             0.00010748,             0.00010748,             0.00010748
                      3,                 1.2015,                0.66084,                  1.056,                0.99364,                 0.9968,                0.99477,                 0.7282,                 1.0312,                0.48483,                 0.9416,             0.00014352,             0.00014352,             0.00014352
                      4,                 1.1804,                0.58229,                 1.0575,                0.99727,                 0.9985,                  0.995,                0.78048,                0.86311,                0.42223,                0.90608,             0.00012584,             0.00012584,             0.00012584
                      5,                 1.1683,                0.53786,                 1.0599,                 0.9986,                0.99912,                  0.995,                  0.764,                 0.9366,                0.40725,                0.92725,             0.00012584,             0.00012584,             0.00012584
                      6,                 1.1535,                0.50128,                 1.0601,                0.99826,                0.99949,                  0.995,                0.79463,                0.83013,                0.37662,                0.90183,             0.00010812,             0.00010812,             0.00010812
                      7,                 1.1399,                0.47831,                 1.0557,                0.99845,                0.99944,                  0.995,                0.79198,                0.85562,                0.36613,                0.90646,             9.0395e-05,             9.0395e-05,             9.0395e-05
                      8,                 1.1347,                0.45848,                  1.057,                0.99898,                0.99962,                0.99496,                0.81967,                0.75594,                0.34031,                0.88666,             7.2674e-05,             7.2674e-05,             7.2674e-05
                      9,                 1.1224,                 0.4409,                 1.0542,                0.99919,                0.99978,                  0.995,                 0.8006,                0.83589,                0.34191,                0.90198,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     10,                  1.111,                0.42686,                 1.0512,                0.99911,                 0.9995,                  0.995,                0.80081,                0.83548,                0.34097,                0.89757,             3.7232e-05,             3.7232e-05,             3.7232e-05
